"OVERLAP_PROXIMAL_CLOSEST_GENES"	"histotype"
"JUNB"	"CCOC"
"FOS"	"CCOC"
"IRF1"	"CCOC"
"RARA"	"CCOC"
"ARID5B"	"CCOC"
"SMAD3"	"CCOC"
"KLF13"	"CCOC"
"KLF9"	"CCOC"
"ZNF217"	"CCOC"
"KLF6"	"CCOC"
"MNT"	"CCOC"
"FOSL2"	"CCOC"
"MEF2D"	"CCOC"
"FOXO3"	"CCOC"
"EPAS1"	"CCOC"
"BCL6"	"CCOC"
"TGIF1"	"CCOC"
"FOXK1"	"CCOC"
"ZNF710"	"CCOC"
"BHLHE40"	"CCOC"
"NR2F2"	"CCOC"
"AKNA"	"CCOC"
"NFE2L2"	"CCOC"
"SNAI1"	"CCOC"
"RUNX1"	"CCOC"
"RERE"	"CCOC"
"ZNF395"	"CCOC"
"UBTF"	"CCOC"
"SKI"	"CCOC"
"CSRNP1"	"CCOC"
"KDM2B"	"CCOC"
"ZBTB7A"	"CCOC"
"SPEN"	"CCOC"
"CXXC5"	"CCOC"
"CUX1"	"CCOC"
"SPI1"	"CCOC"
"GATAD2B"	"CCOC"
"HIVEP2"	"CCOC"
"FOXP1"	"CCOC"
"SREBF1"	"CCOC"
"RREB1"	"CCOC"
"ARID1A"	"CCOC"
"ID3"	"CCOC"
"NR4A2"	"CCOC"
"ZBTB1"	"CCOC"
"ZBTB25"	"CCOC"
"ARID5A"	"CCOC"
"NR1D1"	"CCOC"
"KLF2"	"CCOC"
"MYC"	"CCOC"
"AEBP1"	"CCOC"
"ZBTB7B"	"CCOC"
"MLXIP"	"CCOC"
"SP1"	"CCOC"
"CEBPB"	"CCOC"
"NFIC"	"CCOC"
"FOXO1"	"CCOC"
"JUND"	"CCOC"
"DOT1L"	"CCOC"
"HOXA2"	"CCOC"
"HOXA3"	"CCOC"
"ID2"	"CCOC"
"ELF4"	"CCOC"
"JUN"	"CCOC"
"MEIS1"	"CCOC"
"EGR1"	"CCOC"
"RXRA"	"CCOC"
"ERF"	"CCOC"
"MAFK"	"CCOC"
