GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
SAMD11             1     859993     879961    140      38  106342      0.75443      0.22529
NOC2L              1     879583     894679    112      28  106342      0.52435      0.30002
KLHL17             1     895967     901099     39      13  106342       1.0667      0.14305
PLEKHN1            1     901872     910488     67      35  106342      0.90291      0.18329
PERM1              1     910579     917473     36      12  106342      -1.9687       0.9755
HES4               1     934342     936608     21       8  106342      0.45689      0.32387
ISG15              1     948847     949920     11       5  106342      0.41869      0.33772
AGRN               1     955503     991499    251      50  106342      0.90115      0.18375
RNF223             1    1007126    1009687     18      10  106342      0.56884      0.28473
C1orf159           1    1017198    1051736    205      42  106342       0.9174      0.17947
TTLL10             1    1109286    1133315    216      37  106342       1.7384      0.04107
TNFRSF18           1    1138888    1142163     24       9  106342       1.6928     0.045251
TNFRSF4            1    1146706    1149703     15       8  106342    -0.034407      0.51372
SDF4               1    1152288    1167447    142      15  106342    -0.037602        0.515
B3GALT6            1    1167629    1170421     15       7  106342     -0.60205      0.72643
FAM132A            1    1177826    1182102     21       8  106342      0.89751      0.18472
UBE2J2             1    1189292    1209234     98      25  106342      0.55238      0.29034
SCNN1D             1    1215816    1227409     86      35  106342       1.6925     0.045271
ACAP3              1    1227764    1243304    106      31  106342      0.62924       0.2646
PUSL1              1    1243962    1247057     15       8  106342      0.34951      0.36335
CPSF3L             1    1246965    1260067     68      28  106342       1.3845     0.083097
CPTP               1    1260136    1264276     26      10  106342       1.0348      0.15038
TAS1R3             1    1266726    1269844     20      13  106342      0.63621      0.26232
DVL1               1    1270658    1284509     88      31  106342       1.6158     0.053074
MXRA8              1    1288071    1297183     53      17  106342       1.5957     0.055276
AURKAIP1           1    1309110    1310818     12       6  106342       1.3076     0.095507
CCNL2              1    1321091    1334718     58      31  106342       1.6723     0.047234
MRPL20             1    1337276    1342693     25      12  106342      0.48411      0.31415
ANKRD65            1    1353800    1356824     16       7  106342       0.7889      0.21508
TMEM88B            1    1361508    1363167     12       6  106342      0.43412       0.3321
VWA1               1    1370903    1378262     36      13  106342     0.071974      0.47131
ATAD3C             1    1378152    1405538    159      43  106342      0.58378      0.27968
ATAD3B             1    1407139    1444852    206      43  106342      0.81416      0.20778
ATAD3A             1    1447523    1470067    145      42  106342       1.3796     0.083851
TMEM240            1    1470158    1475740     22      12  106342       1.0318      0.15108
SSU72              1    1477053    1510262    156      29  106342     -0.25575      0.60093
C1orf233           1    1533388    1535476      6       4  106342     -0.70045      0.75818
MIB2               1    1550795    1565990     70      23  106342     -0.28634      0.61269
MMP23B             1    1567060    1570030      2       1  106342      0.48415      0.31414
CDK11B             1    1571100    1590473     32      10  106342     -0.43144      0.66693
SLC35E2B           1    1591486    1624243    111      39  106342       1.4831      0.06903
CDK11A             1    1633822    1655999     80      15  106342      0.90065      0.18389
SLC35E2            1    1656277    1677438     87      33  106342      0.48754      0.31294
NADK               1    1682671    1711508    145      36  106342     -0.82806      0.79618
GNB1               1    1716725    1822552    442      77  106342     -0.27231      0.60731
CALML6             1    1846266    1848733     16       6  106342     -0.16344      0.56491
TMEM52             1    1849029    1850740      9       4  106342     0.066957      0.47331
CFAP74             1    1853390    1935276    603      60  106342      -1.0888      0.86187
GABRD              1    1950768    1962192     63      24  106342        1.614     0.053268
PRKCZ              1    1981909    2116834    935      79  106342      0.16091      0.43608
LOC100506504       1    2113250    2115812     14      10  106342      0.13385      0.44676
C1orf86            1    2115899    2144159    124      47  106342     -0.24284      0.59594
SKI                1    2160134    2241652    499     106  106342      0.82093      0.20584
MORN1              1    2251719    2323190    524      83  106342       1.7394      0.04098
RER1               1    2323214    2336883     77      35  106342       1.4362     0.075472
PEX10              1    2336241    2344010     51      25  106342      0.13429      0.44659
PLCH2              1    2407754    2436964    196      61  106342     -0.94358      0.82731
PANK4              1    2439975    2458061    127      37  106342        0.382      0.35123
HES5               1    2460184    2461684      8       6  106342      0.38332      0.35074
TNFRSF14           1    2487291    2495268     40      15  106342       0.3379      0.36772
FAM213B            1    2517899    2522908     33      21  106342      0.11809        0.453
MMEL1              1    2522078    2564499    279      29  106342      0.50497      0.30679
TTC34              1    2572807    2706230    193      52  106342      0.46883       0.3196
ACTRT2             1    2938046    2939467      8       5  106342     -0.55029      0.70894
PRDM16             1    2985565    3355185   2950     310  106342        1.203      0.11449
ARHGEF16           1    3371147    3397677    189      41  106342       1.3245     0.092664
MEGF6              1    3404506    3528059    940     136  106342      0.24658      0.40262
TPRG1L             1    3541556    3546695     26      10  106342      0.34554      0.36484
WRAP73             1    3547331    3566671    110      36  106342      0.31296      0.37716
TP73               1    3569129    3652765    552      99  106342      0.49906      0.30887
CCDC27             1    3668965    3688209    145      50  106342        1.052      0.14641
SMIM1              1    3689352    3692546     21      12  106342       1.4487     0.073717
LRRC47             1    3696784    3713068    131      33  106342    -0.052696      0.52101
CEP104             1    3728645    3773797    416      33  106342      0.25847      0.39802
DFFB               1    3773845    3801993    273      47  106342     -0.77573      0.78105
C1orf174           1    3805697    3816857     81      22  106342      0.30169      0.38145
AJAP1              1    4715105    4843851   1025     117  106342      -1.0155      0.84505
NPHP4              1    5922870    6052618    844      55  106342      0.46532      0.32085
KCNAB2             1    6052358    6161253    656     110  106342     0.024292      0.49031
CHD5               1    6161847    6240194    537      78  106342       1.8633     0.031207
RPL22              1    6245080    6259679     62      19  106342        0.557      0.28876
RNF207             1    6266189    6281359     85      23  106342       2.7213    0.0032508
ICMT               1    6281253    6296044     80      25  106342       1.9165     0.027648
HES3               1    6304252    6305638      8       4  106342      0.54825      0.29176
GPR153             1    6307406    6321035     81      17  106342     -0.79463      0.78658
ACOT7              1    6324332    6453826    845      60  106342      0.40508      0.34271
HES2               1    6475292    6484724     47      15  106342      0.48887      0.31247
ESPN               1    6484836    6521004    185      36  106342        0.945      0.17233
TNFRSF25           1    6520787    6527432     44      20  106342      0.32831      0.37134
PLEKHG5            1    6526152    6580121    333      72  106342      0.52913      0.29836
NOL9               1    6581407    6614658    212      22  106342      0.12877      0.44877
TAS1R1             1    6614987    6639817    152      38  106342      0.27564      0.39141
ZBTB48             1    6640051    6649340     29      20  106342     -0.76155      0.77683
KLHL21             1    6650784    6662958     67      29  106342     -0.40738      0.65814
PHF13              1    6673756    6684093     43      16  106342      -1.0831      0.86061
THAP3              1    6684925    6695646     58      19  106342       1.3162     0.094048
DNAJC11            1    6694228    6761966    326      53  106342     0.045231      0.48196
CAMTA1             1    6845384    7829766   5369     372  106342      -1.2909      0.90162
VAMP3              1    7831329    7841492     55      19  106342      0.41153      0.34034
PER3               1    7844413    7905241    346      43  106342     -0.36433      0.64219
UTS2               1    7907672    7913551     35      15  106342     -0.33157      0.62989
TNFRSF9            1    7975931    8003225    114      29  106342     -0.72558      0.76595
PARK7              1    8021714    8045342    144      44  106342      0.47056      0.31898
ERRFI1             1    8071779    8086393     56      22  106342      0.46339      0.32154
SLC45A1            1    8378171    8404227    161      43  106342     -0.91094      0.81884
RERE               1    8412464    8877699   1674      80  106342     -0.14161      0.55631
ENO1               1    8921059    8939151     68      27  106342      -0.5619      0.71291
CA6                1    9005893    9035151    208      56  106342      0.16748       0.4335
SLC2A7             1    9063359    9086404    152      62  106342      -0.9038      0.81695
SLC2A5             1    9097005    9131763    191      44  106342     -0.72477       0.7657
GPR157             1    9163472    9189229    118      33  106342       0.5091      0.30534
H6PD               1    9294822    9331396    233      67  106342      0.65425      0.25648
SPSB1              1    9335202    9429591    715     130  106342    -0.093186      0.53712
SLC25A33           1    9599528    9642831    188      47  106342        1.182       0.1186
TMEM201            1    9648932    9674935    144      47  106342       1.5286     0.063182
PIK3CD             1    9711789    9789172    432      91  106342      0.18572      0.42633
CLSTN1             1    9789079    9884550    566      36  106342    -0.032857      0.51311
CTNNBIP1           1    9908334    9970316    307      56  106342        2.291      0.01098
LZIC               1    9982168   10003460     89      31  106342      0.15712      0.43757
NMNAT1             1   10003486   10045556    173      47  106342     0.035824      0.48571
RBP7               1   10057255   10076078     72      17  106342     -0.54154      0.70593
UBE4B              1   10093041   10241297    689      64  106342     -0.45406      0.67511
KIF1B              1   10270606   10441664    908      41  106342      0.39473      0.34652
PGD                1   10458884   10480565    105      29  106342       0.9419      0.17312
APITD1             1   10489944   10510239    107      29  106342      0.16754      0.43347
APITD1-CORT        1   10490159   10512060    111      29  106342      0.11956      0.45242
CORT               1   10509776   10512060      8       3  106342      0.29479      0.38408
DFFA               1   10520588   10532613     66      31  106342      0.49145      0.31155
PEX14              1   10535003   10690815    712      88  106342      -1.3517      0.91176
CASZ1              1   10696661   10856733    929     170  106342      -1.3979      0.91893
C1orf127           1   11006530   11042094    248      54  106342      -1.7403       0.9591
TARDBP             1   11072462   11085549     60      23  106342     -0.60118      0.72614
MASP2              1   11086580   11107296    118      28  106342       0.1448      0.44243
SRM                1   11114649   11120091     19      10  106342      0.14776      0.44127
EXOSC10            1   11126675   11159961    170      23  106342      -1.1677      0.87855
MTOR               1   11166588   11322614    667      33  106342     -0.91929      0.82103
ANGPTL7            1   11249346   11256038     31      10  106342     -0.62515      0.73406
UBIAD1             1   11333255   11348491     48      15  106342      -1.0848      0.86099
PTCHD2             1   11539295   11597640    278      34  106342      0.33702      0.36805
FBXO2              1   11707924   11714888     44      28  106342      0.41189      0.34021
FBXO44             1   11714432   11723384     45      21  106342      0.33168      0.37006
FBXO6              1   11724150   11734411     70      29  106342      0.98883      0.16137
MAD2L2             1   11734537   11751678    117      34  106342      0.49024      0.31198
DRAXIN             1   11751781   11780336    163      48  106342      0.63624      0.26231
AGTRAP             1   11796142   11810828     69      22  106342     -0.59098      0.72273
C1orf167           1   11823827   11849642    213      24  106342     -0.51403      0.69638
MTHFR              1   11845787   11866160    126      26  106342      0.66088      0.25434
CLCN6              1   11866153   11903201    317      33  106342      0.62561      0.26578
NPPA               1   11905766   11907840     17       7  106342      0.85687      0.19576
NPPB               1   11917521   11918992      6       4  106342      0.27629      0.39116
KIAA2013           1   11979645   11986485     34      16  106342    -0.087143      0.53472
PLOD1              1   11994724   12035599    231      43  106342      0.78478      0.21629
MFN2               1   12040238   12073572    184      41  106342     0.056914      0.47731
MIIP               1   12079299   12092106     59      25  106342      0.83996      0.20046
TNFRSF8            1   12123434   12204264    470      93  106342      0.25169      0.40064
TNFRSF1B           1   12227044   12269279    243      54  106342      0.29703      0.38322
VPS13D             1   12290101   12572099   1119      75  106342      0.39592      0.34608
DHRS3              1   12627939   12677820    306      70  106342      -1.0434      0.85161
AADACL4            1   12704566   12727097    132      30  106342      -1.0341      0.84945
AADACL3            1   12776118   12788726     89      24  106342    -0.046458      0.51853
C1orf158           1   12806163   12821102     92      20  106342     -0.82197      0.79445
PRAMEF12           1   12834984   12838049     18      10  106342     -0.22272      0.58812
PRAMEF1            1   12851546   12856777     18      10  106342     -0.71993      0.76422
PRAMEF11           1   12884468   12891264     33      13  106342      -1.0839      0.86079
HNRNPCL1           1   12907261   12908578      5       3  106342      -1.5842      0.94343
PRAMEF2            1   12916941   12921764     28      10  106342     -0.51387      0.69633
PRAMEF4            1   12939033   12946025     14      10  106342     -0.38803        0.651
PRAMEF10           1   12952727   12958094      4       2  106342     -0.83819      0.79904
PRAMEF6            1   12998302   13007406      1       1  106342      -1.6179      0.94716
HNRNPCL2           1   13182960   13184326      9       6  106342    -0.065344      0.52605
LOC391003          1   13474053   13477569      1       1  106342       1.2881     0.098862
PRAMEF17           1   13716088   13719064      3       2  106342       1.2988     0.097004
LRRC38             1   13801445   13840242    302      69  106342      0.92293      0.17802
PDPN               1   13910252   13944452    227      68  106342       0.1989      0.42117
PRDM2              1   14026714   14151574    700      81  106342      0.07877      0.46861
KAZN               1   14219646   15444544   8319     493  106342      0.15257      0.43937
TMEM51             1   15479028   15546974    525      52  106342     -0.75629      0.77526
C1orf195           1   15490692   15498120     44      15  106342      0.67896      0.24858
FHAD1              1   15573730   15724767    893     127  106342      0.23586      0.40677
EFHD2              1   15736391   15756839    147      44  106342     -0.13293      0.55288
CTRC               1   15764938   15773153     43      20  106342     -0.58692      0.72137
CELA2A             1   15783223   15798586     99      26  106342      0.71944      0.23593
CELA2B             1   15802596   15817895    107      26  106342      0.65896      0.25496
CASP9              1   15817896   15851407    209      27  106342       1.1046      0.13466
DNAJC16            1   15853343   15898228    185      31  106342         1.97     0.024419
AGMAT              1   15898194   15911605     80      17  106342       1.7756     0.037897
DDI2               1   15943953   15995539    214      29  106342       1.4682      0.07102
RSC1A1             1   15986364   15988217      8       5  106342       1.2433      0.10688
PLEKHM2            1   16010632   16061264    269      33  106342       1.7867     0.036996
SLC25A34           1   16062721   16067884     22      12  106342   0.00085717      0.49966
TMEM82             1   16068987   16074292     35      14  106342      0.16585      0.43414
FBLIM1             1   16083107   16113089    163      39  106342      -2.5562      0.99471
UQCRHL             1   16133657   16134194      5       2  106342      0.73093      0.23241
SPEN               1   16174359   16266951    382      59  106342      0.60258       0.2734
ZBTB17             1   16268364   16302627    130      48  106342       1.2278      0.10976
TBC1D3P6           1   16302626   16323701    149      37  106342      0.37004      0.35568
C1orf64            1   16330731   16333184     25      12  106342      0.64455      0.25961
HSPB7              1   16340523   16346084     59       9  106342      0.82551      0.20454
CLCNKA             1   16348486   16360548    107      28  106342      0.96031      0.16845
CLCNKB             1   16370231   16383821    154      28  106342      0.13076      0.44798
FAM131C            1   16384264   16400127     90      19  106342     -0.99395      0.83988
EPHA2              1   16450832   16482582    138      51  106342     0.059593      0.47624
ARHGEF19           1   16524599   16539104     83      18  106342    -0.019247      0.50768
ANO7P1             1   16551343   16553528     10       2  106342     -0.29438      0.61577
RSG1               1   16558182   16563659     25      13  106342       -1.566      0.94133
FBXO42             1   16573339   16678965    426      41  106342    -0.079915      0.53185
SZRD1              1   16693525   16724643    123      33  106342       0.3891       0.3486
SPATA21            1   16722101   16763919    233      63  106342      0.36724      0.35672
NECAP2             1   16767167   16786585     90      34  106342     -0.16096      0.56394
FAM231B            1   16865561   16866198      3       2  106342     -0.70806      0.76055
NBPF1              1   16888922   16940100      9       6  106342     -0.68939      0.75471
CROCC              1   17248445   17299474    257      58  106342    -0.098757      0.53933
MFAP2              1   17300997   17308081     29      13  106342      0.45626       0.3241
ATP13A2            1   17312453   17338467    114      40  106342        1.386     0.082874
SDHB               1   17345217   17380665    195      31  106342      0.88943      0.18689
PADI2              1   17393256   17445948    403      44  106342      0.82984      0.20331
PADI1              1   17531621   17572501    312      97  106342        1.839     0.032956
PADI3              1   17575593   17610728    277      48  106342       1.0526      0.14627
PADI4              1   17634690   17690495    430      52  106342      0.39107      0.34787
PADI6              1   17698741   17728195    264      38  106342     -0.95128      0.82927
RCC2               1   17733251   17766250    194      59  106342     -0.36991      0.64427
ARHGEF10L          1   17846693   18024370   1079     112  106342      0.80701      0.20983
ACTL8              1   18081808   18153558    380      56  106342       1.1661      0.12179
IGSF21             1   18434240   18704977   1826     250  106342      0.89693      0.18488
KLHDC7A            1   18807424   18812540     41      13  106342       -1.126      0.86992
PAX7               1   18957500   19075360    749     162  106342     -0.10891      0.54336
TAS1R2             1   19166093   19186155    164      38  106342      0.70715      0.23974
ALDH4A1            1   19197924   19229293    254      47  106342     -0.30884      0.62128
IFFO2              1   19230774   19282826    335      69  106342      0.79085      0.21452
UBR4               1   19401000   19536812    555      56  106342     -0.78876      0.78488
EMC1               1   19542158   19578053    177      34  106342       -1.054      0.85406
MRTO4              1   19578075   19586622     70      15  106342     -0.72976      0.76723
AKR7A3             1   19609057   19615280     39      10  106342     -0.45753      0.67636
AKR7A2             1   19629202   19638640     53      27  106342     -0.94134      0.82674
