GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
SAMD11             1     859993     879961    138      38  103765       1.5631      0.05902
NOC2L              1     879583     894679    110      27  103765       2.0845     0.018559
KLHL17             1     895967     901099     39      13  103765       1.2834     0.099671
PLEKHN1            1     901872     910488     67      35  103765       1.2016      0.11476
PERM1              1     910579     917473     36      12  103765      -1.5392      0.93812
HES4               1     934342     936608     21       8  103765     0.017455      0.49304
ISG15              1     948847     949920     11       5  103765    -0.032723      0.51305
AGRN               1     955503     991499    241      47  103765       0.3363      0.36832
RNF223             1    1007126    1009687     18      10  103765     -0.30538      0.61996
C1orf159           1    1017198    1051736    200      40  103765       1.5646      0.05884
TTLL10             1    1109286    1133315    217      38  103765      0.39661      0.34583
TNFRSF18           1    1138888    1142163     23       8  103765       1.7941     0.036401
TNFRSF4            1    1146706    1149703     15       8  103765       1.1822      0.11856
SDF4               1    1152288    1167447    142      15  103765      0.54717      0.29213
B3GALT6            1    1167629    1170421     15       7  103765      0.08903      0.46453
FAM132A            1    1177826    1182102     20       7  103765       1.1926      0.11652
UBE2J2             1    1189292    1209234     98      25  103765       1.0084      0.15664
SCNN1D             1    1215816    1227409     85      34  103765       1.9926     0.023152
ACAP3              1    1227764    1243304    106      32  103765      0.72055      0.23559
PUSL1              1    1243962    1247057     16       8  103765     -0.42589      0.66491
CPSF3L             1    1246965    1260067     68      28  103765      0.89572       0.1852
CPTP               1    1260136    1264276     27      10  103765       1.2585      0.10411
TAS1R3             1    1266726    1269844     21      14  103765       1.3931     0.081798
DVL1               1    1270658    1284509     88      31  103765       0.2718      0.39289
MXRA8              1    1288071    1297183     52      16  103765      0.38347      0.35069
AURKAIP1           1    1309110    1310818     12       6  103765      0.26796      0.39437
CCNL2              1    1321091    1334718     58      31  103765      0.10676      0.45749
MRPL20             1    1337276    1342693     25      12  103765    -0.086679      0.53454
ANKRD65            1    1353800    1356824     16       7  103765     -0.39661      0.65417
TMEM88B            1    1361508    1363167     12       6  103765     -0.31657      0.62422
VWA1               1    1370903    1378262     36      13  103765     -0.66189      0.74598
ATAD3C             1    1378152    1405538    157      42  103765      0.43471      0.33188
ATAD3B             1    1407139    1444852    205      43  103765      0.31536      0.37624
ATAD3A             1    1447523    1470067    145      42  103765        -1.04      0.85083
TMEM240            1    1470158    1475740     22      12  103765     -0.59104      0.72275
SSU72              1    1477053    1510262    157      30  103765      -1.4402      0.92509
C1orf233           1    1533388    1535476      6       4  103765      0.82073       0.2059
MIB2               1    1550795    1565990     70      23  103765     -0.49054      0.68813
MMP23B             1    1567060    1570030      2       1  103765     -0.15055      0.55984
CDK11B             1    1571100    1590473     32      10  103765     -0.29073      0.61437
SLC35E2B           1    1591486    1624243    111      39  103765     -0.84707      0.80152
CDK11A             1    1633822    1655999     80      15  103765    -0.065672      0.52618
SLC35E2            1    1656277    1677438     86      33  103765     -0.15691      0.56234
NADK               1    1682671    1711508    145      36  103765      -1.0145      0.84482
GNB1               1    1716725    1822552    441      78  103765    -0.020174      0.50805
CALML6             1    1846266    1848733     16       6  103765    -0.033115      0.51321
TMEM52             1    1849029    1850740      9       4  103765     -0.10443      0.54158
CFAP74             1    1853390    1935276    602      66  103765     -0.28051      0.61046
GABRD              1    1950768    1962192     62      23  103765      -1.0652      0.85661
PRKCZ              1    1981909    2116834    936      84  103765    -0.034342       0.5137
LOC100506504       1    2113250    2115812     14      10  103765      0.62929      0.26458
C1orf86            1    2115899    2144159    124      47  103765      0.35051      0.36298
SKI                1    2160134    2241652    500     115  103765     0.020872      0.49167
MORN1              1    2251719    2323190    524      77  103765      -1.1549      0.87594
RER1               1    2323214    2336883     77      35  103765      -1.6557      0.95111
PEX10              1    2336241    2344010     51      25  103765      -1.7856      0.96292
PLCH2              1    2407754    2436964    193      59  103765     -0.83495      0.79813
PANK4              1    2439975    2458061    126      36  103765      0.42801      0.33432
HES5               1    2460184    2461684      8       6  103765     -0.67596      0.75047
TNFRSF14           1    2487291    2495268     40      15  103765     -0.11674      0.54647
FAM213B            1    2517899    2522908     33      21  103765     0.087816      0.46501
MMEL1              1    2522078    2564499    279      29  103765      0.82163      0.20564
TTC34              1    2572807    2706230    192      51  103765      0.44354      0.32869
ACTRT2             1    2938046    2939467      8       5  103765      0.33811      0.36764
PRDM16             1    2985565    3355185   2949     309  103765       2.0436     0.020495
ARHGEF16           1    3371147    3397677    191      42  103765      0.97048       0.1659
MEGF6              1    3404506    3528059    943     135  103765      0.28853      0.38647
TPRG1L             1    3541556    3546695     26      10  103765       0.9201      0.17876
WRAP73             1    3547331    3566671    110      36  103765      0.32998      0.37071
TP73               1    3569129    3652765    550      99  103765     -0.58765      0.72162
CCDC27             1    3668965    3688209    145      50  103765     -0.67935      0.75154
SMIM1              1    3689352    3692546     21      12  103765     -0.33338      0.63058
LRRC47             1    3696784    3713068    131      33  103765    0.0011838      0.49953
CEP104             1    3728645    3773797    418      34  103765      0.69786      0.24263
DFFB               1    3773845    3801993    273      47  103765     -0.93469      0.82503
C1orf174           1    3805697    3816857     81      22  103765    -0.087208      0.53475
AJAP1              1    4715105    4843851   1025     125  103765      0.75779      0.22429
NPHP4              1    5922870    6052618    842      56  103765       1.0717      0.14193
KCNAB2             1    6052358    6161253    655     111  103765      0.98143      0.16319
CHD5               1    6161847    6240194    534      76  103765      0.68088      0.24797
RPL22              1    6245080    6259679     62      19  103765      0.36123      0.35896
RNF207             1    6266189    6281359     84      23  103765      0.71454      0.23745
ICMT               1    6281253    6296044     79      25  103765       1.3709     0.085195
HES3               1    6304252    6305638      8       4  103765      -0.1473      0.55855
GPR153             1    6307406    6321035     82      18  103765      0.23408      0.40746
ACOT7              1    6324332    6453826    845      60  103765     -0.12878      0.55123
HES2               1    6475292    6484724     49      16  103765      0.14573      0.44207
ESPN               1    6484836    6521004    185      36  103765      0.23449       0.4073
TNFRSF25           1    6520787    6527432     43      19  103765       0.9275      0.17683
PLEKHG5            1    6526152    6580121    332      72  103765     -0.51105      0.69534
NOL9               1    6581407    6614658    213      22  103765     0.094436      0.46238
TAS1R1             1    6614987    6639817    153      39  103765       0.3629      0.35834
ZBTB48             1    6640051    6649340     29      20  103765      -1.4978       0.9329
KLHL21             1    6650784    6662958     67      29  103765      -1.3984      0.91901
PHF13              1    6673756    6684093     44      17  103765     -0.27044      0.60659
THAP3              1    6684925    6695646     57      18  103765     -0.21937      0.58682
DNAJC11            1    6694228    6761966    326      53  103765    -0.062127      0.52477
CAMTA1             1    6845384    7829766   5372     369  103765      0.49331       0.3109
VAMP3              1    7831329    7841492     55      19  103765     -0.17481      0.56939
PER3               1    7844413    7905241    348      52  103765      -1.0709      0.85789
UTS2               1    7907672    7913551     35      15  103765      0.14813      0.44112
TNFRSF9            1    7975931    8003225    114      29  103765       1.2452      0.10652
PARK7              1    8021714    8045342    145      44  103765     -0.42183      0.66343
ERRFI1             1    8071779    8086393     56      22  103765      -1.1934      0.88364
SLC45A1            1    8378171    8404227    161      43  103765      0.30722      0.37934
RERE               1    8412464    8877699   1674      80  103765     -0.56604      0.71432
ENO1               1    8921059    8939151     67      26  103765       0.2002      0.42066
CA6                1    9005893    9035151    207      55  103765      0.44675      0.32753
SLC2A7             1    9063359    9086404    151      61  103765       1.8825     0.029884
SLC2A5             1    9097005    9131763    189      43  103765       0.6792       0.2485
GPR157             1    9163472    9189229    117      32  103765       0.4159      0.33874
H6PD               1    9294822    9331396    233      67  103765     0.039522      0.48424
SPSB1              1    9335202    9429591    713     121  103765      0.51631      0.30282
SLC25A33           1    9599528    9642831    189      47  103765    -0.046503      0.51855
TMEM201            1    9648932    9674935    144      47  103765     0.091602      0.46351
PIK3CD             1    9711789    9789172    432      91  103765     -0.75409       0.7746
CLSTN1             1    9789079    9884550    566      36  103765     -0.30832      0.62108
CTNNBIP1           1    9908334    9970316    308      55  103765      0.99423      0.16006
LZIC               1    9982168   10003460     89      31  103765     -0.30304      0.61907
NMNAT1             1   10003486   10045556    173      47  103765     -0.18207      0.57223
RBP7               1   10057255   10076078     72      17  103765      -1.3783      0.91594
UBE4B              1   10093041   10241297    690      59  103765      -1.3729      0.91511
KIF1B              1   10270606   10441664    907      41  103765     -0.79694      0.78726
PGD                1   10458884   10480565    105      29  103765       -2.113       0.9827
APITD1             1   10489944   10510239    107      29  103765      -1.5811      0.94307
APITD1-CORT        1   10490159   10512060    111      29  103765      -1.5966      0.94482
CORT               1   10509776   10512060      8       3  103765     -0.64806      0.74153
DFFA               1   10520588   10532613     66      31  103765      -1.3355      0.90915
PEX14              1   10535003   10690815    713      79  103765     -0.34044      0.63324
CASZ1              1   10696661   10856733    926     167  103765      -1.9141       0.9722
C1orf127           1   11006530   11042094    245      53  103765     -0.59031      0.72251
TARDBP             1   11072462   11085549     60      23  103765    -0.033943      0.51354
MASP2              1   11086580   11107296    118      28  103765     -0.20427      0.58093
SRM                1   11114649   11120091     18       9  103765      -1.3189      0.90639
EXOSC10            1   11126675   11159961    170      23  103765      0.14818       0.4411
MTOR               1   11166588   11322614    656      35  103765     -0.26504      0.60451
ANGPTL7            1   11249346   11256038     30      10  103765      0.14708      0.44153
UBIAD1             1   11333255   11348491     48      15  103765     -0.70169      0.75857
PTCHD2             1   11539295   11597640    278      34  103765      0.39285      0.34722
FBXO2              1   11707924   11714888     44      28  103765       2.0844     0.018563
FBXO44             1   11714432   11723384     45      21  103765       1.4887     0.068285
FBXO6              1   11724150   11734411     71      30  103765       1.0967      0.13638
MAD2L2             1   11734537   11751678    117      34  103765       1.0346      0.15043
DRAXIN             1   11751781   11780336    163      48  103765      0.65099      0.25753
AGTRAP             1   11796142   11810828     70      22  103765      -2.3239      0.98993
C1orf167           1   11823827   11849642    214      24  103765     -0.23258      0.59196
MTHFR              1   11845787   11866160    126      26  103765     -0.68272      0.75261
CLCN6              1   11866153   11903201    316      29  103765      -1.4694      0.92913
NPPA               1   11905766   11907840     17       7  103765     -0.48604      0.68653
NPPB               1   11917521   11918992      6       4  103765     -0.14363      0.55711
KIAA2013           1   11979645   11986485     34      16  103765      -1.8764       0.9697
PLOD1              1   11994724   12035599    230      43  103765     -0.69182      0.75547
MFN2               1   12040238   12073572    184      41  103765     0.056675       0.4774
MIIP               1   12079299   12092106     59      25  103765     -0.21721      0.58598
TNFRSF8            1   12123434   12204264    467      99  103765      -1.8392      0.96706
TNFRSF1B           1   12227044   12269279    245      55  103765       1.2199      0.11125
VPS13D             1   12290101   12572099   1117      75  103765       1.8661     0.031014
DHRS3              1   12627939   12677820    306      70  103765      0.13791      0.44516
AADACL4            1   12704566   12727097    131      29  103765     -0.35254      0.63778
AADACL3            1   12776118   12788726     89      24  103765      -1.4856      0.93131
C1orf158           1   12806163   12821102     90      20  103765      -1.3453      0.91074
PRAMEF12           1   12834984   12838049     19      11  103765      0.62784      0.26505
PRAMEF1            1   12851546   12856777     18      10  103765     -0.26386      0.60405
PRAMEF11           1   12884468   12891264     33      13  103765      -0.3951      0.65362
HNRNPCL1           1   12907261   12908578      5       3  103765      -0.1124      0.54475
PRAMEF2            1   12916941   12921764     29      11  103765      0.28468      0.38794
PRAMEF4            1   12939033   12946025     14      10  103765     0.038483      0.48465
PRAMEF10           1   12952727   12958094      4       2  103765     0.003578      0.49857
PRAMEF6            1   12998302   13007406      1       1  103765     -0.61984      0.73232
HNRNPCL2           1   13182960   13184326      9       6  103765     -0.16761      0.56655
LOC391003          1   13474053   13477569      1       1  103765       1.1192      0.13153
PRAMEF17           1   13716088   13719064      3       2  103765      0.34737      0.36416
LRRC38             1   13801445   13840242    300      69  103765      0.33891      0.36734
PDPN               1   13910252   13944452    227      68  103765      0.71119      0.23848
PRDM2              1   14026714   14151574    697      76  103765      0.63731      0.26196
KAZN               1   14219646   15444544   8291     491  103765      0.24615      0.40278
TMEM51             1   15479028   15546974    525      52  103765      0.30354      0.38074
C1orf195           1   15490692   15498120     43      14  103765      0.48934       0.3123
FHAD1              1   15573730   15724767    890     126  103765        1.431     0.076217
EFHD2              1   15736391   15756839    145      43  103765     0.089265      0.46444
CTRC               1   15764938   15773153     43      20  103765      0.93462      0.17499
CELA2A             1   15783223   15798586     98      25  103765     -0.73222      0.76798
CELA2B             1   15802596   15817895    107      26  103765     0.045858      0.48171
CASP9              1   15817896   15851407    209      27  103765       0.4698      0.31925
DNAJC16            1   15853343   15898228    185      31  103765    -0.089162      0.53552
AGMAT              1   15898194   15911605     80      17  103765     -0.43836      0.66944
DDI2               1   15943953   15995539    214      29  103765     -0.28003      0.61027
RSC1A1             1   15986364   15988217      8       5  103765      -1.5997      0.94517
PLEKHM2            1   16010632   16061264    270      33  103765     -0.50324       0.6926
SLC25A34           1   16062721   16067884     22      12  103765        1.138      0.12757
TMEM82             1   16068987   16074292     35      14  103765     -0.62146      0.73285
FBLIM1             1   16083107   16113089    163      39  103765     -0.32108      0.62593
UQCRHL             1   16133657   16134194      5       2  103765       1.0387      0.14948
