GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
SAMD11             1     859993     879961    137      37  107853      0.49377      0.31073
NOC2L              1     879583     894679    111      27  107853     -0.88263      0.81128
KLHL17             1     895967     901099     39      13  107853      -1.6307      0.94852
PLEKHN1            1     901872     910488     67      35  107853      -0.5725      0.71651
PERM1              1     910579     917473     36      12  107853      -1.1643      0.87784
HES4               1     934342     936608     21       8  107853       1.1056      0.13445
ISG15              1     948847     949920     11       5  107853      0.15112      0.43994
AGRN               1     955503     991499    250      49  107853       1.2135      0.11248
RNF223             1    1007126    1009687     18      10  107853    -0.010183      0.50406
C1orf159           1    1017198    1051736    200      40  107853     -0.26013      0.60262
TTLL10             1    1109286    1133315    216      37  107853     -0.18685      0.57411
TNFRSF18           1    1138888    1142163     24       9  107853      0.65022      0.25777
TNFRSF4            1    1146706    1149703     15       8  107853      0.49696      0.30961
SDF4               1    1152288    1167447    142      15  107853     -0.44797      0.67291
B3GALT6            1    1167629    1170421     15       7  107853      -1.7466      0.95964
FAM132A            1    1177826    1182102     21       8  107853      0.58392      0.27964
UBE2J2             1    1189292    1209234     99      26  107853    -0.094676      0.53771
SCNN1D             1    1215816    1227409     88      36  107853      0.79738      0.21261
ACAP3              1    1227764    1243304    107      32  107853      0.53527      0.29623
PUSL1              1    1243962    1247057     15       8  107853     -0.13595      0.55407
CPSF3L             1    1246965    1260067     68      28  107853      0.90424      0.18294
CPTP               1    1260136    1264276     26      10  107853       1.2315      0.10907
TAS1R3             1    1266726    1269844     20      13  107853       0.2953      0.38388
DVL1               1    1270658    1284509     87      31  107853      0.62173      0.26706
MXRA8              1    1288071    1297183     54      17  107853      0.54842       0.2917
AURKAIP1           1    1309110    1310818     12       6  107853     -0.19958       0.5791
CCNL2              1    1321091    1334718     58      31  107853      0.57351      0.28315
MRPL20             1    1337276    1342693     25      12  107853      0.25243      0.40036
ANKRD65            1    1353800    1356824     16       7  107853      0.19034      0.42452
TMEM88B            1    1361508    1363167     12       6  107853      0.87834      0.18988
VWA1               1    1370903    1378262     38      15  107853       1.1013      0.13537
