GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
SAMD11             1     859993     879961    140      38  121312       1.4135     0.078757
NOC2L              1     879583     894679    117      30  121312       1.1785       0.1193
KLHL17             1     895967     901099     42      15  121312      0.87061      0.19198
PLEKHN1            1     901872     910488     67      35  121312      0.30622      0.37972
PERM1              1     910579     917473     36      12  121312      0.14812      0.44112
HES4               1     934342     936608     20       8  121312      -1.5543      0.93994
ISG15              1     948847     949920     11       5  121312      0.33612      0.36839
AGRN               1     955503     991499    255      39  121312      0.70685      0.23983
RNF223             1    1007126    1009687     18      10  121312    -0.020653      0.50824
C1orf159           1    1017198    1051736    204      41  121312       1.2841     0.099555
TTLL10             1    1109286    1133315    218      38  121312    -0.067555      0.52693
TNFRSF18           1    1138888    1142163     25      10  121312     -0.96641      0.83308
TNFRSF4            1    1146706    1149703     15       8  121312      -1.2242      0.88955
SDF4               1    1152288    1167447    150      17  121312      0.46507      0.32094
B3GALT6            1    1167629    1170421     16       7  121312      0.23561      0.40687
FAM132A            1    1177826    1182102     22       8  121312      -1.3043      0.90393
UBE2J2             1    1189292    1209234    102      27  121312       1.5651     0.058784
SCNN1D             1    1215816    1227409     89      37  121312       1.1171      0.13197
ACAP3              1    1227764    1243304    110      33  121312      0.74737      0.22742
PUSL1              1    1243962    1247057     17       9  121312      0.64976      0.25792
CPSF3L             1    1246965    1260067     68      28  121312     -0.47175      0.68145
CPTP               1    1260136    1264276     26      10  121312       1.3011     0.096606
TAS1R3             1    1266726    1269844     23      16  121312     0.055724      0.47778
DVL1               1    1270658    1284509     89      32  121312      0.47329        0.318
MXRA8              1    1288071    1297183     55      18  121312       1.1489      0.12529
AURKAIP1           1    1309110    1310818     12       6  121312      -1.1699      0.87898
CCNL2              1    1321091    1334718     58      31  121312     -0.31042      0.62188
MRPL20             1    1337276    1342693     25      12  121312     -0.22934       0.5907
ANKRD65            1    1353800    1356824     16       7  121312     -0.57517      0.71741
TMEM88B            1    1361508    1363167     12       6  121312     0.031898      0.48728
VWA1               1    1370903    1378262     37      14  121312     -0.83232      0.79739
ATAD3C             1    1378152    1405538    162      44  121312     -0.20012      0.57931
ATAD3B             1    1407139    1444852    215      47  121312      0.12556      0.45004
ATAD3A             1    1447523    1470067    149      44  121312      0.34941      0.36339
TMEM240            1    1470158    1475740     23      12  121312      0.62006      0.26761
SSU72              1    1477053    1510262    161      31  121312    0.0035957      0.49857
C1orf233           1    1533388    1535476      6       4  121312      0.85954      0.19502
MIB2               1    1550795    1565990     71      24  121312     -0.12474      0.54963
MMP23B             1    1567060    1570030      2       1  121312      0.20699      0.41801
