GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
SAMD11             1     859993     879961    143      40  129118       2.0216      0.02161
NOC2L              1     879583     894679    117      30  129118       2.3054     0.010573
KLHL17             1     895967     901099     42      15  129118       1.7315     0.041682
PLEKHN1            1     901872     910488     69      36  129118       0.2571      0.39855
PERM1              1     910579     917473     36      12  129118     -0.79927      0.78793
HES4               1     934342     936608     21       8  129118     -0.67118      0.74895
ISG15              1     948847     949920     11       5  129118      -1.0327      0.84914
AGRN               1     955503     991499    257      40  129118      0.66449      0.25319
RNF223             1    1007126    1009687     18      10  129118    -0.018355      0.50732
C1orf159           1    1017198    1051736    207      42  129118       1.7149      0.04318
TTLL10             1    1109286    1133315    219      38  129118      0.81858      0.20651
TNFRSF18           1    1138888    1142163     25      10  129118      0.71789      0.23641
TNFRSF4            1    1146706    1149703     15       8  129118     -0.24519      0.59685
SDF4               1    1152288    1167447    149      17  129118     -0.14819       0.5589
B3GALT6            1    1167629    1170421     16       7  129118     0.030585       0.4878
FAM132A            1    1177826    1182102     22       8  129118    -0.015101      0.50602
UBE2J2             1    1189292    1209234    103      27  129118       1.6905     0.045467
SCNN1D             1    1215816    1227409     91      38  129118       2.3917    0.0083845
ACAP3              1    1227764    1243304    110      33  129118       1.3393     0.090234
PUSL1              1    1243962    1247057     17       9  129118       1.2617      0.10354
CPSF3L             1    1246965    1260067     68      28  129118      0.91028      0.18134
CPTP               1    1260136    1264276     27      10  129118       2.1723     0.014917
TAS1R3             1    1266726    1269844     24      17  129118      0.54078      0.29433
DVL1               1    1270658    1284509     90      32  129118       1.6624     0.048212
MXRA8              1    1288071    1297183     56      18  129118       1.6351      0.05101
AURKAIP1           1    1309110    1310818     12       6  129118      0.35482      0.36136
CCNL2              1    1321091    1334718     58      31  129118      0.31905      0.37484
MRPL20             1    1337276    1342693     25      12  129118      0.15377      0.43889
ANKRD65            1    1353800    1356824     16       7  129118      0.55524      0.28937
TMEM88B            1    1361508    1363167     12       6  129118      0.27609      0.39124
VWA1               1    1370903    1378262     38      15  129118     -0.40511       0.6573
ATAD3C             1    1378152    1405538    163      45  129118     -0.32351      0.62684
ATAD3B             1    1407139    1444852    219      48  129118      0.56738      0.28523
ATAD3A             1    1447523    1470067    149      44  129118      0.26288      0.39632
TMEM240            1    1470158    1475740     23      12  129118     -0.31127       0.6222
SSU72              1    1477053    1510262    163      32  129118     -0.44081      0.67032
C1orf233           1    1533388    1535476      6       4  129118      0.50394      0.30715
MIB2               1    1550795    1565990     71      24  129118      -0.8854      0.81203
MMP23B             1    1567060    1570030      3       2  129118      -1.2336      0.89133
CDK11B             1    1571100    1590473     40      15  129118     -0.71652      0.76316
SLC35E2B           1    1591486    1624243    116      41  129118      0.13764      0.44526
CDK11A             1    1633822    1655999     80      15  129118     -0.34856      0.63629
SLC35E2            1    1656277    1677438     88      34  129118     -0.85452      0.80359
NADK               1    1682671    1711508    149      38  129118      -1.1416      0.87319
GNB1               1    1716725    1822552    448      90  129118     -0.84303       0.8004
CALML6             1    1846266    1848733     16       6  129118     0.069318      0.47237
TMEM52             1    1849029    1850740      9       4  129118      -1.1297       0.8707
CFAP74             1    1853390    1935276    616      68  129118      0.12567         0.45
GABRD              1    1950768    1962192     64      24  129118      0.68863      0.24553
