GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
SAMD11             1     859993     879961    138      38  108197      0.56521      0.28597
NOC2L              1     879583     894679    111      27  108197       1.5502     0.060545
KLHL17             1     895967     901099     40      14  108197       1.8611     0.031363
PLEKHN1            1     901872     910488     66      34  108197      0.49515      0.31025
PERM1              1     910579     917473     36      12  108197     -0.67054      0.74874
HES4               1     934342     936608     20       8  108197   0.00039437      0.49984
ISG15              1     948847     949920     11       5  108197     -0.32748      0.62835
AGRN               1     955503     991499    249      49  108197       0.5011      0.30815
RNF223             1    1007126    1009687     18      10  108197     -0.97476      0.83516
C1orf159           1    1017198    1051736    201      40  108197     -0.65814      0.74478
TTLL10             1    1109286    1133315    216      37  108197     -0.59077      0.72266
TNFRSF18           1    1138888    1142163     26      10  108197       0.8156      0.20737
TNFRSF4            1    1146706    1149703     15       8  108197       1.1682      0.12136
SDF4               1    1152288    1167447    143      15  108197      0.80397      0.21071
B3GALT6            1    1167629    1170421     15       7  108197      0.91263      0.18072
FAM132A            1    1177826    1182102     21       8  108197      0.17407      0.43091
UBE2J2             1    1189292    1209234     99      26  108197      0.79272      0.21397
SCNN1D             1    1215816    1227409     86      35  108197      0.40497      0.34275
ACAP3              1    1227764    1243304    106      31  108197      0.39599      0.34606
PUSL1              1    1243962    1247057     16       8  108197      0.52016      0.30148
CPSF3L             1    1246965    1260067     69      28  108197       1.1068      0.13418
CPTP               1    1260136    1264276     26      10  108197      0.12947      0.44849
TAS1R3             1    1266726    1269844     20      13  108197     -0.47079      0.68111
DVL1               1    1270658    1284509     87      31  108197      0.88271       0.1887
MXRA8              1    1288071    1297183     53      17  108197     -0.13807      0.55491
AURKAIP1           1    1309110    1310818     12       6  108197       1.0856      0.13883
CCNL2              1    1321091    1334718     58      31  108197      0.31901      0.37486
MRPL20             1    1337276    1342693     25      12  108197      0.50065      0.30831
ANKRD65            1    1353800    1356824     16       7  108197     -0.62095      0.73268
TMEM88B            1    1361508    1363167     12       6  108197      0.16186      0.43571
VWA1               1    1370903    1378262     37      14  108197     -0.38341      0.64929
ATAD3C             1    1378152    1405538    158      42  108197     -0.22932      0.59069
ATAD3B             1    1407139    1444852    205      43  108197     -0.36005      0.64059
ATAD3A             1    1447523    1470067    145      42  108197     -0.31901      0.62514
TMEM240            1    1470158    1475740     22      12  108197     -0.53535       0.7038
SSU72              1    1477053    1510262    157      30  108197     -0.28326      0.61151
C1orf233           1    1533388    1535476      6       4  108197      -1.7669      0.96138
MIB2               1    1550795    1565990     70      23  108197      -1.9968      0.97708
MMP23B             1    1567060    1570030      2       1  108197     -0.19461      0.57715
CDK11B             1    1571100    1590473     32      10  108197       1.1995      0.11516
SLC35E2B           1    1591486    1624243    110      38  108197      0.10226      0.45927
CDK11A             1    1633822    1655999     80      15  108197     -0.39693      0.65429
SLC35E2            1    1656277    1677438     87      33  108197      -0.9228      0.82194
NADK               1    1682671    1711508    145      36  108197     -0.70561      0.75978
GNB1               1    1716725    1822552    442      77  108197     0.073021      0.47089
CALML6             1    1846266    1848733     16       6  108197     -0.94151      0.82678
TMEM52             1    1849029    1850740      9       4  108197     -0.86815      0.80734
CFAP74             1    1853390    1935276    603      67  108197       1.8062     0.035446
GABRD              1    1950768    1962192     63      24  108197      -0.4525      0.67455
PRKCZ              1    1981909    2116834    934      85  108197     -0.43998      0.67002
LOC100506504       1    2113250    2115812     14      10  108197      -1.3161      0.90593
C1orf86            1    2115899    2144159    124      47  108197        -1.11      0.86651
SKI                1    2160134    2241652    500     116  108197     -0.28116      0.61071
MORN1              1    2251719    2323190    523      73  108197      -1.1261      0.86994
RER1               1    2323214    2336883     77      35  108197       2.1436     0.016032
PEX10              1    2336241    2344010     51      25  108197     -0.19972      0.57915
PLCH2              1    2407754    2436964    194      60  108197    -0.099123      0.53948
PANK4              1    2439975    2458061    126      36  108197      -1.5077      0.93419
HES5               1    2460184    2461684      8       6  108197      -2.4432      0.99272
